equipment,ip_address,incident_time
20003-Eltex2,172.20.28.126,2024-10-01 00:03:14
20004-Eltex2,172.20.28.186,2024-10-01 00:03:15
20002-Eltex1,172.16.27.246,2024-10-01 00:03:16
20001-Eltex2,172.20.11.230,2024-10-01 00:03:12
20005-Eltex2,172.20.33.110,2024-10-01 00:03:14
87001-Eltex2,172.20.25.106,2024-10-01 00:07:14
50005-Eltex2,172.20.2.242,2024-10-01 00:21:13
87001-Eltex2,172.20.25.106,2024-10-01 00:12:17
87001-Eltex2,172.20.25.106,2024-10-01 00:17:13
87001-Eltex2,172.20.25.106,2024-10-01 00:24:13
36012-s-terra1,198.18.14.82,2024-10-01 00:28:25
87001-Eltex2,172.20.25.106,2024-10-01 00:33:14
36012-s-terra1,198.18.14.82,2024-10-01 00:43:23
87001-Eltex2,172.20.25.106,2024-10-01 00:43:14
36012-Eltex1,172.16.12.82,2024-10-01 00:05:14
87001-Eltex2,172.20.25.106,2024-10-01 00:55:14
23061-Eltex2,172.20.33.218,2024-10-01 01:07:10
87001-Eltex2,172.20.25.106,2024-10-01 01:07:13
23057-Eltex2,172.20.30.242,2024-10-01 01:07:14
51005-Eltex2,172.20.6.242,2024-10-01 01:11:13
11001-Eltex2,172.20.6.126,2024-10-01 01:18:13
11011-Eltex2,172.20.30.42,2024-10-01 01:18:16
87001-Eltex2,172.20.25.106,2024-10-01 01:22:14
87001-s-terra2,198.18.155.106,2024-10-01 01:25:14
36012-s-terra1,198.18.14.82,2024-10-01 01:33:21
87001-Eltex2,172.20.25.106,2024-10-01 01:37:13
16023-Eltex2,172.20.13.194,2024-10-01 01:42:17
87001-Eltex2,172.20.25.106,2024-10-01 01:42:13
36012-s-terra1,198.18.14.82,2024-10-01 01:43:21
16023-Eltex2,172.20.13.194,2024-10-01 01:53:17
87001-Eltex2,172.20.25.106,2024-10-01 01:57:13
16023-Eltex2,172.20.13.194,2024-10-01 02:00:14
87001-Eltex2,172.20.25.106,2024-10-01 02:06:14
16023-Eltex2,172.20.13.194,2024-10-01 02:10:17
36012-s-terra1,198.18.14.82,2024-10-01 02:09:17
87001-Eltex2,172.20.25.106,2024-10-01 02:09:14
16023-Eltex2,172.20.13.194,2024-10-01 02:13:14
16023-Eltex2,172.20.13.194,2024-10-01 02:17:17
14011-Eltex1,172.16.23.242,2024-10-01 02:25:14
87001-Eltex2,172.20.25.106,2024-10-01 02:25:14
14011-Eltex2,172.20.23.242,2024-10-01 02:27:14
16023-Eltex2,172.20.13.194,2024-10-01 02:26:14
87001-s-terra2,198.18.155.106,2024-10-01 02:29:13
36012-s-terra1,198.18.14.82,2024-10-01 02:33:18
61050-Eltex1,172.16.32.186,2024-10-01 02:34:12
44004-Eltex1,172.16.5.250,2024-10-01 02:36:13
87001-Eltex2,172.20.25.106,2024-10-01 02:37:14
61050-Eltex1,172.16.32.186,2024-10-01 02:38:13
87001-Eltex2,172.20.25.106,2024-10-01 02:45:13
11008-Eltex2,172.20.26.90,2024-10-01 01:20:43
11009-Eltex2,172.20.27.198,2024-10-01 01:20:45
87001-Eltex2,172.20.25.106,2024-10-01 02:50:14
87001-Eltex2,172.20.25.106,2024-10-01 02:53:14
87001-Eltex2,172.20.25.106,2024-10-01 03:05:14
28005-Eltex2,172.20.23.166,2024-10-01 03:24:18
36012-s-terra1,198.18.14.82,2024-10-01 03:25:17
87001-Eltex2,172.20.25.106,2024-10-01 03:24:14
42014-Eltex2,172.20.21.110,2024-10-01 03:35:12
33014-Eltex2,172.20.30.178,2024-10-01 03:36:14
36012-s-terra1,198.18.14.82,2024-10-01 02:55:14
36012-Eltex1,172.16.12.82,2024-10-01 02:55:14
87001-Eltex2,172.20.25.106,2024-10-01 03:41:14
07002-Eltex2,172.20.11.206,2024-10-01 03:43:12
11001-Eltex2,172.20.6.126,2024-10-01 03:45:14
11011-Eltex2,172.20.30.42,2024-10-01 03:45:19
36012-s-terra1,198.18.14.82,2024-10-01 03:53:20
87001-Eltex2,172.20.25.106,2024-10-01 03:56:14
36012-s-terra1,198.18.14.82,2024-10-01 04:09:17
66055-Eltex1,172.16.28.134,2024-10-01 04:09:15
14011-Eltex2,172.20.23.242,2024-10-01 04:13:14
87001-Eltex2,172.20.25.106,2024-10-01 04:14:13
36012-s-terra1,198.18.14.82,2024-10-01 04:29:17
87001-Eltex2,172.20.25.106,2024-10-01 04:31:14
77016-Eltex2,172.20.4.114,2024-10-01 04:34:16
14011-Eltex2,172.20.23.242,2024-10-01 04:44:13
61051-Eltex1,172.16.33.186,2024-10-01 04:45:10
14011-Eltex2,172.20.23.242,2024-10-01 04:45:14
36012-s-terra1,198.18.14.82,2024-10-01 04:58:22
87001-Eltex2,172.20.25.106,2024-10-01 05:03:13
77201-Eltex2,172.20.1.10,2024-10-01 05:15:17
66056-Eltex1,172.16.28.138,2024-10-01 05:15:16
87001-Eltex2,172.20.25.106,2024-10-01 05:14:14
77274-Eltex2,172.20.28.214,2024-10-01 05:16:12
36012-s-terra1,198.18.14.82,2024-10-01 05:18:19
87001-Eltex2,172.20.25.106,2024-10-01 05:27:14
87001-s-terra2,198.18.155.106,2024-10-01 05:30:13
