ip_address,MTU,"Внутренняя температура (CPE (Eltex), Основной)",Время работы Eltex,Двусторонний коэффициент потерь пакетов класс PRE (IPP7),Двусторонний коэффициент потерь пакетов класс REA (IPP5),Двусторонний коэффициент потерь пакетов класс STD (IPP1),Двусторонняя вариация времени задержки класс PRE (IPP7),Двусторонняя вариация времени задержки класс REA (IPP5),Двусторонняя вариация времени задержки класс STD (IPP1),Двусторонняя задержка передачи пакетов класс PRE (IPP7),Двусторонняя задержка передачи пакетов класс REA (IPP5),Двусторонняя задержка передачи пакетов класс STD (IPP1),Двусторонняя сетевая задержка (сред.),Джиттер,Доступность,Доступность от соседнего Eltex,Загрузка канала (UDP трафик) в момент измерения пропускной способности (передача) / Измерять только в нерабочее время,Загрузка канала (UDP трафик) в момент измерения пропускной способности (прием) /  Измерять только в нерабочее время,Загрузка канала (входящая)[new],Загрузка канала (исходящая)[new],"Загрузка канала (передача), Кбит/с","Загрузка канала (прием), Кбит/с",Загрузка оперативной памяти CPE,Загрузка процессора CPE,"Коэффициент загрузки канала (передача), %","Коэффициент загрузки канала (прием), %",Потеря пакетов,Проверка фрагментации пакетов,Пропускная способность (передача),"Пропускная способность (передача), %",Пропускная способность (прием),"Пропускная способность (прием), %",Среднее время отклика,"Статус Downlink порта до СКЗИ (CPE Eltex, Основной)","Статус Uplink порта (CPE Eltex, Основной)",Тест доступности (ICMP Echo),timestamp,target
172.16.15.150,1800.0,55.0,,0.0,0.0,0.0,1.2014285714285715,6.638571428571429,0.10285714285714286,25.247142857142855,25.541428571428572,21.20285714285714,21.20285714285714,0.11764705882352941,1.0,1.0,,,19604.87142264758,14174.012933338763,152.07,256.12571428571425,61.0,3.25,0.9900000000000001,1.667142857142857,0.0,1.0,15791.0,100.0,15529.0,100.0,26.096774193548388,2.0,2.0,100.0,2024-12-01 00:00:00,0
172.16.15.150,1800.0,55.0,333020.0,0.0,0.0,0.0,3.4133333333333336,0.5016666666666666,0.10166666666666667,25.886666666666667,23.06833333333333,20.411666666666665,20.411666666666665,0.0,1.0,1.0,,,16963.94567861756,12071.883479387516,75.62833333333333,112.375,61.0,3.5,0.49333333333333335,0.7316666666666666,0.0,1.0,15791.0,100.0,15529.0,100.0,26.033333333333335,2.0,2.0,100.0,2024-12-01 00:30:00,0
172.16.15.150,1800.0,55.0,333020.0,0.0,0.0,0.0,5.011666666666667,0.8983333333333334,0.06333333333333334,24.618333333333336,22.061666666666667,21.343333333333334,21.343333333333334,0.15625,1.0,1.0,,,17430.77926193218,12269.81581802322,122.94000000000001,207.96800000000002,61.0,3.5,0.8019999999999999,1.3539999999999999,0.0,1.0,15791.0,100.0,15529.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 01:00:00,0
172.16.15.150,1800.0,55.0,333080.0,0.0,0.0,0.0,3.385,2.53,0.10833333333333334,24.255,21.848333333333333,23.536666666666665,23.536666666666665,0.1,1.0,1.0,,,16824.98145445454,11771.031693875977,105.89999999999999,159.14333333333335,61.0,3.5,0.69,1.035,0.0,1.0,15791.0,100.0,15529.0,100.0,26.033333333333335,2.0,2.0,100.0,2024-12-01 01:30:00,0
172.16.15.150,1800.0,55.0,333080.0,0.0,0.0,0.0,0.7416666666666667,0.5583333333333333,0.085,21.098333333333333,23.236666666666665,20.529999999999998,20.529999999999998,0.1,1.0,1.0,,,20836.114206906095,12252.180160900967,83.77833333333334,123.75333333333333,61.0,3.25,0.545,0.8066666666666666,0.0,1.0,15791.0,100.0,15529.0,100.0,26.033333333333335,2.0,2.0,100.0,2024-12-01 02:00:00,0
172.16.15.150,1800.0,55.0,333140.0,0.0,0.0,0.0,2.262,0.748,0.12000000000000001,25.144,23.794,22.525000000000002,22.525000000000002,0.06666666666666667,1.0,1.0,,,17742.38312237549,12112.838153536777,86.83166666666666,125.42,61.0,3.5,0.5666666666666667,0.8166666666666668,0.0,1.0,15791.0,100.0,15529.0,100.0,26.066666666666666,2.0,2.0,100.0,2024-12-01 02:30:00,0
172.16.15.150,1800.0,55.0,333140.0,0.0,0.0,0.0,0.875,1.1449999999999998,0.08,21.09166666666667,23.84166666666667,23.546,23.546,0.03333333333333333,1.0,1.0,,,17153.012250300708,13317.558563466786,111.42666666666666,170.725,61.0,3.25,0.7233333333333333,1.1133333333333333,0.0,1.0,15791.0,100.0,15529.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 03:00:00,0
172.16.15.150,1800.0,55.0,333200.0,0.0,0.0,0.0,1.86,1.9483333333333333,0.075,22.685000000000002,23.5,22.865,22.865,0.13333333333333333,1.0,1.0,,,18066.233728637864,12028.809433801287,89.17999999999999,140.5,61.0,3.5,0.5816666666666667,0.915,0.0,1.0,15791.0,100.0,15529.0,100.0,26.033333333333335,2.0,2.0,100.0,2024-12-01 03:30:00,0
172.16.15.150,1800.0,55.0,333200.0,0.0,0.0,0.0,2.235,1.3333333333333333,0.12166666666666669,25.13,24.013333333333332,21.595,21.595,0.03125,1.0,1.0,,,23998.106826948784,15726.776466522979,211.9333333333333,118.70166666666667,61.0,3.25,1.38,0.7716666666666666,0.0,1.0,15779.0,100.0,15742.0,100.0,26.03448275862069,2.0,2.0,100.0,2024-12-01 04:00:00,0
172.16.15.150,1800.0,55.0,333260.0,0.0,0.0,0.0,0.8966666666666666,1.3216666666666665,0.14166666666666666,23.275000000000002,24.596666666666664,23.998333333333335,23.998333333333335,0.0,1.0,1.0,,,19984.49181782747,16651.90157944115,77.08666666666666,130.19500000000002,61.5,3.25,0.5,0.8483333333333333,0.0,1.0,15779.0,100.0,15742.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 04:30:00,0
